index,post_id,reply_id,actual,female_votes
41,7892378751459500032,16252800000000000000,RHETORICAL QUESTION,2
138,6136925553124996096,18189700000000000000,ANALOGY,1
139,1796321055434843904,14810100000000000000,CONTEXT SHIFT,3
154,13772995230818629632,474398000000000000,FALSE ASSERTION,3
2,7155693771356047360,18161900000000000000,OTHER,2
101,14571755448335099904,8064450000000000000,ANALOGY,2
36,9117711307358630912,7916660000000000000,CONTEXT SHIFT,1
3,5929177359346716672,5855670000000000000,EUPHEMISM,2
108,12840277770070130688,17885300000000000000,RHETORICAL QUESTION,2
90,2432806416627402752,11492500000000000000,FALSE ASSERTION,1
115,14672930942777870336,4389960000000000000,OTHER,2
150,359007761229179712,7539490000000000000,HYPERBOLE,2
85,15169059911459409920,10309200000000000000,RHETORICAL QUESTION,2
17,1679217763483685120,5478910000000000000,CONTEXT SHIFT,1
52,13530102438651389952,4840720000000000000,ANALOGY,1
70,13001943395368790016,10475000000000000000,CONTEXT SHIFT,2
142,8372852051422961664,17839100000000000000,ANALOGY,2
143,12327589089127030784,12311300000000000000,RHETORICAL QUESTION,2
9,12841824500967149568,13599000000000000000,OTHER,2
38,10274209232461860864,1533160000000000000,CONTEXT SHIFT,3
172,856473992583352192,9561800000000000000,ANALOGY,1
188,4570732536120891904,279302000000000000,CONTEXT SHIFT,3
129,5977190667122479104,9931290000000000000,EUPHEMISM,2
43,11558390939674519552,12676400000000000000,FALSE ASSERTION,1
167,14740895360806709248,690708000000000000,RHETORICAL QUESTION,3
123,17948825530378829824,4603970000000000000,EUPHEMISM,2
104,12099038560420169728,16675900000000000000,CONTEXT SHIFT,3
155,17571549064257740800,8316700000000000000,HYPERBOLE,3
112,527554389017052224,13774800000000000000,CONTEXT SHIFT,3
168,4744139215692694528,14418000000000000000,CONTEXT SHIFT,2
27,1004779540710112000,10540900000000000000,ANALOGY,1
131,16822415573863280640,13445000000000000000,OTHER,2
25,10543569204621709312,6478110000000000000,RHETORICAL QUESTION,2
184,4219267705690278912,8173530000000000000,CONTEXT SHIFT,1
174,11684652511432220672,8495650000000000000,FALSE ASSERTION,2
200,3045493691802176000,1458020000000000000,EUPHEMISM,2
128,6621863004798281728,16813700000000000000,ANALOGY,1
198,12440347481004769280,16857000000000000000,OTHER,2
163,10353713379511670784,7889330000000000000,OTHER,2
119,14849029575208689664,6295240000000000000,FALSE ASSERTION,2
166,8593319126456509440,18392100000000000000,HYPERBOLE,2
54,11137418050832379904,3817000000000000000,CONTEXT SHIFT,2
132,17983287614789019648,12362200000000000000,CONTEXT SHIFT,1
50,9568837740787623936,2564980000000000000,CONTEXT SHIFT,3
67,888612363643747712,9901380000000000000,CONTEXT SHIFT,2
92,4520804865264936960,12052700000000000000,FALSE ASSERTION,2
164,12053836099981969408,15092600000000000000,CONTEXT SHIFT,2
178,15621374748089249792,1864250000000000000,RHETORICAL QUESTION,3
4,12099038560420169728,10284800000000000000,ANALOGY,3
86,3037383543302795776,6283640000000000000,CONTEXT SHIFT,2
185,4282571183500335104,17164000000000000000,HYPERBOLE,2
55,10281194885854019584,14278400000000000000,CONTEXT SHIFT,3
7,4625931298966675456,3210680000000000000,HYPERBOLE,3
160,17672354307488139264,11727300000000000000,HYPERBOLE,2
12,8727623984665907200,457492000000000000,ANALOGY,1
29,14374185223286280192,15962200000000000000,ANALOGY,1
72,255308143867597184,3714510000000000000,ANALOGY,1
77,7489313936521549824,7078800000000000000,CONTEXT SHIFT,3
74,14222935602055790592,11326200000000000000,OXYMORON,2
189,13390906219756009472,4552500000000000000,OTHER,2
11,1439242534760017920,10568700000000000000,FALSE ASSERTION,1
24,17212309861089630208,7213440000000000000,FALSE ASSERTION,2
40,225288318251128288,4629310000000000000,HYPERBOLE,3
194,17539115194999750656,2616120000000000000,CONTEXT SHIFT,2
99,17101699480099239936,15609300000000000000,FALSE ASSERTION,2
80,4360074657789536256,16013400000000000000,EUPHEMISM,2
51,1096004385442002944,18443900000000000000,FALSE ASSERTION,1
78,10282731906424629248,15817800000000000000,ANALOGY,2
179,8673029279031176192,2090710000000000000,OTHER,2
31,4320113204215145984,16985200000000000000,OTHER,2
0,7961696982295378944,15902900000000000000,CONTEXT SHIFT,3
125,12802596261741490176,12261900000000000000,ANALOGY,1
158,17239694814309300224,1239070000000000000,OTHER,2
73,8182077132297058304,4587260000000000000,OTHER,2
176,6704336624706271232,15276700000000000000,ANALOGY,2
61,11899879421757480960,699644000000000000,CONTEXT SHIFT,1
46,630286693384318080,11609600000000000000,HYPERBOLE,2
69,11854247542220259328,17907300000000000000,CONTEXT SHIFT,1
110,7987151303712674816,7829230000000000000,ANALOGY,1
65,16971453668517500928,15948200000000000000,CONTEXT SHIFT,1
173,3732654630473097216,110952000000000000,CONTEXT SHIFT,3
6,18184193230015000576,3263700000000000000,OTHER,2
124,16379255176565530624,10462000000000000000,CONTEXT SHIFT,2
187,6678462595339328512,6100410000000000000,FALSE ASSERTION,1
48,393080136253742016,16904200000000000000,CONTEXT SHIFT,3
126,2306502567302935040,8660850000000000000,ANALOGY,1
44,15313632188181430272,1809560000000000000,RHETORICAL QUESTION,2
32,10294703797536010240,14854400000000000000,ANALOGY,1
13,7033897647878070272,4174370000000000000,CONTEXT SHIFT,3
182,11853669944201299968,6859860000000000000,CONTEXT SHIFT,2
109,1679217763483685120,8067560000000000000,CONTEXT SHIFT,1
95,11534803039351519232,14401400000000000000,OTHER,3
93,12561098575626790912,12674400000000000000,EUPHEMISM,2
116,7501166755663576064,17666000000000000000,OTHER,2
186,11236300103531329536,13378300000000000000,RHETORICAL QUESTION,2
147,9439828508304793600,16960000000000000000,ANALOGY,1
192,541253097942894784,1442660000000000000,CONTEXT SHIFT,1
39,11611645251669049344,7556330000000000000,CONTEXT SHIFT,2
149,6945640229171908608,13060500000000000000,CONTEXT SHIFT,2
58,7954843239286609920,8178510000000000000,CONTEXT SHIFT,2
83,15452154017271209984,11998800000000000000,CONTEXT SHIFT,1
96,1236265448438971904,4088920000000000000,CONTEXT SHIFT,1
113,15986361946082170880,16848500000000000000,RHETORICAL QUESTION,2
169,954400581630060800,15189900000000000000,CONTEXT SHIFT,1
152,12685626515092740096,11333800000000000000,HYPERBOLE,3
199,7052809677862323200,4092240000000000000,OTHER,2
111,8553934668525359104,6122080000000000000,FALSE ASSERTION,1
23,15318882553031809024,1457720000000000000,CONTEXT SHIFT,2
28,10742053278056030208,6975850000000000000,CONTEXT SHIFT,1
20,7462581045673427968,14235400000000000000,RHETORICAL QUESTION,2
97,9838181499890583552,10423300000000000000,EUPHEMISM,1
191,12245258018149509120,7745360000000000000,RHETORICAL QUESTION,2
22,10765217889857900544,12979700000000000000,OTHER,2
175,12068356125191430144,7906330000000000000,CONTEXT SHIFT,2
157,1924498557111155968,13042300000000000000,OTHER,3
135,2530636871780512768,905238000000000000,RHETORICAL QUESTION,2
193,15051144082008870912,14736000000000000000,OTHER,2
197,2026724236652621056,15985800000000000000,OTHER,3
130,9283656897473443840,11902700000000000000,ANALOGY,1
45,18387398790699239424,14325300000000000000,OTHER,2
151,2257238064643362048,5588800000000000000,HYPERBOLE,3
144,8911687171641719808,12840800000000000000,CONTEXT SHIFT,1
76,4712286480051747840,4224410000000000000,OTHER,2
137,17218286934062159872,7840460000000000000,OTHER,2
94,12802596261741490176,6395060000000000000,CONTEXT SHIFT,2
162,3613038691848914944,565292000000000000,CONTEXT SHIFT,1
141,3351706419049328128,4775270000000000000,CONTEXT SHIFT,2
148,18045340422771570688,159165000000000000,CONTEXT SHIFT,2
57,6386761469479286784,6876180000000000000,CONTEXT SHIFT,2
171,5110262296428008448,12676000000000000000,OTHER,2
190,3067091126359724032,5623380000000000000,RHETORICAL QUESTION,2
75,6358833546371151872,2866560000000000000,ANALOGY,2
136,12738344882000019456,17573000000000000000,OTHER,2
105,15909640808401659904,4919990000000000000,CONTEXT SHIFT,2
134,12762344047647358976,4934920000000000000,OTHER,2
59,492369763312032128,17520700000000000000,ANALOGY,1
53,14048408814207320064,15664700000000000000,RHETORICAL QUESTION,2
26,5168625731641847808,6591050000000000000,CONTEXT SHIFT,1
118,16565537520034279424,12210400000000000000,CONTEXT SHIFT,2
62,8482609725250125824,11859000000000000000,EUPHEMISM,2
133,732865758052127488,17046100000000000000,CONTEXT SHIFT,1
18,17571549064257740800,12383100000000000000,OTHER,2
127,10644245602980409344,17770700000000000000,CONTEXT SHIFT,1
21,13615235974994190336,17921100000000000000,RHETORICAL QUESTION,2
47,18083945283865270272,13051300000000000000,EUPHEMISM,1
84,15145496112429019136,11505300000000000000,ANALOGY,2
88,9408805770120683520,2035190000000000000,HYPERBOLE,3
35,955066013186157056,7841040000000000000,ANALOGY,2
161,4414116674616324096,8854870000000000000,CONTEXT SHIFT,2
66,13943343828615460864,9688060000000000000,ANALOGY,2
153,6200782206383500288,1910100000000000000,CONTEXT SHIFT,2
122,7926235817378922496,8485090000000000000,RHETORICAL QUESTION,2
56,3564946252259166208,11499800000000000000,RHETORICAL QUESTION,3
183,18085984606050760704,3945920000000000000,ANALOGY,2
156,16302263758898020352,8042950000000000000,CONTEXT SHIFT,1
180,523482694209799168,1023730000000000000,CONTEXT SHIFT,1
14,14927487631298500608,3984510000000000000,FALSE ASSERTION,2
140,12903441351042940928,2957700000000000000,CONTEXT SHIFT,2
87,11755500963030939648,12431600000000000000,OTHER,3
82,13415829529808369664,7787860000000000000,HYPERBOLE,2
120,17406266981620549632,13932800000000000000,CONTEXT SHIFT,2
121,10279940017783449600,2387680000000000000,CONTEXT SHIFT,2
145,4182246863848148992,10201800000000000000,CONTEXT SHIFT,2
10,8374295896122236928,9960700000000000000,OTHER,2
33,1387389979920722944,7871260000000000000,CONTEXT SHIFT,1
98,3078947007140050944,10710000000000000000,HYPERBOLE,2
106,702317291372904320,2344620000000000000,FALSE ASSERTION,2
81,5724857037789025280,13083000000000000000,RHETORICAL QUESTION,3
107,3045493691802176000,2186550000000000000,CONTEXT SHIFT,3
91,16626886395331850240,7533790000000000000,FALSE ASSERTION,2
71,14468596749483630592,4827130000000000000,RHETORICAL QUESTION,2
37,4178595591294574080,16143900000000000000,CONTEXT SHIFT,2
68,16300389213436499968,7681940000000000000,OTHER,2
16,3045493691802176000,5881810000000000000,CONTEXT SHIFT,2
1,4824587311292975104,4652170000000000000,RHETORICAL QUESTION,2
15,13999466197412390912,8582060000000000000,OTHER,1
165,2850064009792842752,16155700000000000000,HYPERBOLE,2
79,5969871576465133568,14017200000000000000,FALSE ASSERTION,2
103,364716304175925376,7002360000000000000,CONTEXT SHIFT,2
170,16164952083934230528,2241330000000000000,ANALOGY,2
102,12148897515124049920,10230900000000000000,RHETORICAL QUESTION,2
181,9927703142179117056,9002570000000000000,RHETORICAL QUESTION,2
34,8657171621256952832,5812260000000000000,CONTEXT SHIFT,2
60,9470135544203663360,7580360000000000000,OXYMORON,2
196,15166726173020559360,8793600000000000000,RHETORICAL QUESTION,2
195,4127188764209179136,5294800000000000000,ANALOGY,2
19,1894119167367809024,9033280000000000000,OTHER,2
30,16167343742615099392,5036060000000000000,ANALOGY,1
8,457436274759233728,11247500000000000000,CONTEXT SHIFT,2
5,6878336134883742720,15991800000000000000,OTHER,2
49,11926712388159440896,17502200000000000000,OTHER,3
89,1679217763483685120,6187690000000000000,CONTEXT SHIFT,2
63,2968926351009075200,10391400000000000000,ANALOGY,1
146,11071951095274190848,8806520000000000000,CONTEXT SHIFT,1
64,7477401530957351936,1206180000000000000,RHETORICAL QUESTION,3
114,16653175777918050304,11658100000000000000,OXYMORON,2
100,10426144657201930240,4379940000000000000,OTHER,2
117,18298855339031560192,12680200000000000000,CONTEXT SHIFT,2
177,7151181422750357504,7060190000000000000,OTHER,2
159,3137790644280062976,9530790000000000000,RHETORICAL QUESTION,2
42,11369149162983489536,7888320000000000000,CONTEXT SHIFT,2
