index,post_id_x,reply_id_x,actual,male_votes,post_id_y,reply_id_y,prediction
41,7892378751459500032,16252800000000000000,RHETORICAL QUESTION,2,7892378751459499909,16252794309021202709,RHETORICAL QUESTION
138,6136925553124996096,18189700000000000000,RHETORICAL QUESTION,2,6136925553124996071,18189737867917875212,RHETORICAL QUESTION
139,1796321055434843904,14810100000000000000,CONTEXT SHIFT,2,1796321055434844193,14810077150833138951,OXYMORON
154,13772995230818629632,474398000000000000,FALSE ASSERTION,2,13772995230818626978,474397791409998420,FALSE ASSERTION
2,7155693771356047360,18161900000000000000,OTHER,3,7155693771356046855,18161905213580884688,OTHER
101,14571755448335099904,8064450000000000000,ANALOGY,2,14571755448335103235,8064446870187057078,RHETORICAL QUESTION
36,9117711307358630912,7916660000000000000,ANALOGY,1,9117711307358630712,7916655201224424892,ANALOGY
3,5929177359346716672,5855670000000000000,FALSE ASSERTION,2,5929177359346716605,5855671312721211658,CONTEXT SHIFT
108,12840277770070130688,17885300000000000000,OTHER,1,12840277770070131661,17885304786512091702,RHETORICAL QUESTION
90,2432806416627402752,11492500000000000000,ANALOGY,1,2432806416627403091,11492500343714452849,OXYMORON
115,14672930942777870336,4389960000000000000,OTHER,2,14672930942777869739,4389956713331137748,OTHER
150,359007761229179712,7539490000000000000,HYPERBOLE,2,359007761229179682,7539488691515933556,CONTEXT SHIFT
85,15169059911459409920,10309200000000000000,OTHER,2,15169059911459408271,10309176085348017995,CONTEXT SHIFT
17,1679217763483685120,5478910000000000000,FALSE ASSERTION,2,1679217763483684543,5478906752054136546,CONTEXT SHIFT
52,13530102438651389952,4840720000000000000,OTHER,2,13530102438651393123,4840715148050485352,OTHER
70,13001943395368790016,10475000000000000000,FALSE ASSERTION,2,13001943395368794277,10474993252439046566,ANALOGY
142,8372852051422961664,17839100000000000000,ANALOGY,2,8372852051422961806,17839050751443036096,ANALOGY
143,12327589089127030784,12311300000000000000,EUPHEMISM,1,12327589089127030384,12311323613480610166,RHETORICAL QUESTION
9,12841824500967149568,13599000000000000000,ANALOGY,1,12841824500967152638,13599020026271593789,FALSE ASSERTION
38,10274209232461860864,1533160000000000000,CONTEXT SHIFT,2,10274209232461856236,1533160137394887569,FALSE ASSERTION
172,856473992583352192,9561800000000000000,OTHER,2,856473992583352234,9561801190578066439,ANALOGY
188,4570732536120891904,279302000000000000,FALSE ASSERTION,2,4570732536120892495,279302136799953530,CONTEXT SHIFT
129,5977190667122479104,9931290000000000000,EUPHEMISM,2,5977190667122478859,9931289976776163029,FALSE ASSERTION
43,11558390939674519552,12676400000000000000,HYPERBOLE,3,11558390939674521663,12676378721740979604,FALSE ASSERTION
167,14740895360806709248,690708000000000000,RHETORICAL QUESTION,2,14740895360806711009,690708159982087795,CONTEXT SHIFT
123,17948825530378829824,4603970000000000000,CONTEXT SHIFT,1,17948825530378828840,4603973994291651916,CONTEXT SHIFT
104,12099038560420169728,16675900000000000000,CONTEXT SHIFT,1,12099038560420169473,16675858157400040650,EUPHEMISM
155,17571549064257740800,8316700000000000000,HYPERBOLE,3,17571549064257738386,8316696099347894782,OTHER
112,527554389017052224,13774800000000000000,OTHER,2,527554389017052205,13774786005298998319,OXYMORON
168,4744139215692694528,14418000000000000000,FALSE ASSERTION,3,4744139215692694803,14418025248063088205,ANALOGY
27,1004779540710112000,10540900000000000000,OTHER,2,1004779540710112239,10540907626678455839,CONTEXT SHIFT
131,16822415573863280640,13445000000000000000,HYPERBOLE,1,16822415573863280985,13445025746676793122,ANALOGY
25,10543569204621709312,6478110000000000000,RHETORICAL QUESTION,3,10543569204621710499,6478106222062563980,OXYMORON
184,4219267705690278912,8173530000000000000,CONTEXT SHIFT,1,4219267705690279623,8173525950570444551,CONTEXT SHIFT
174,11684652511432220672,8495650000000000000,FALSE ASSERTION,3,11684652511432219048,8495645490393788777,OTHER
200,3045493691802176000,1458020000000000000,EUPHEMISM,2,3045493691802176106,1458015100847778173,ANALOGY
128,6621863004798281728,16813700000000000000,CONTEXT SHIFT,2,6621863004798281614,16813718916983401584,FALSE ASSERTION
198,12440347481004769280,16857000000000000000,EUPHEMISM,1,12440347481004767015,16856958995869695592,FALSE ASSERTION
163,10353713379511670784,7889330000000000000,ANALOGY,1,10353713379511671808,7889327051951419772,EUPHEMISM
119,14849029575208689664,6295240000000000000,HYPERBOLE,2,14849029575208684856,6295243627667993108,OXYMORON
166,8593319126456509440,18392100000000000000,ANALOGY,1,8593319126456509739,18392130683005231862,RHETORICAL QUESTION
54,11137418050832379904,3817000000000000000,RHETORICAL QUESTION,2,11137418050832379654,3816999479361169791,RHETORICAL QUESTION
132,17983287614789019648,12362200000000000000,HYPERBOLE,2,17983287614789022640,12362197363508914994,OXYMORON
50,9568837740787623936,2564980000000000000,HYPERBOLE,2,9568837740787623353,2564977630664608854,CONTEXT SHIFT
67,888612363643747712,9901380000000000000,ANALOGY,1,888612363643747745,9901376417448567248,CONTEXT SHIFT
92,4520804865264936960,12052700000000000000,FALSE ASSERTION,3,4520804865264937407,12052725809972729004,CONTEXT SHIFT
164,12053836099981969408,15092600000000000000,OTHER,2,12053836099981966480,15092630907500890786,RHETORICAL QUESTION
178,15621374748089249792,1864250000000000000,EUPHEMISM,1,15621374748089248322,1864254433926636509,CONTEXT SHIFT
4,12099038560420169728,10284800000000000000,OXYMORON,2,12099038560420169473,10284801989587274790,OXYMORON
86,3037383543302795776,6283640000000000000,HYPERBOLE,2,3037383543302796324,6283644142388211856,OTHER
185,4282571183500335104,17164000000000000000,FALSE ASSERTION,2,4282571183500334814,17164039023425786733,HYPERBOLE
55,10281194885854019584,14278400000000000000,CONTEXT SHIFT,2,10281194885854020219,14278385778710598219,RHETORICAL QUESTION
7,4625931298966675456,3210680000000000000,HYPERBOLE,3,4625931298966675422,3210681809367953482,OXYMORON
160,17672354307488139264,11727300000000000000,EUPHEMISM,1,17672354307488144282,11727315586133661339,CONTEXT SHIFT
12,8727623984665907200,457492000000000000,OTHER,2,8727623984665906820,457491692921579564,ANALOGY
29,14374185223286280192,15962200000000000000,HYPERBOLE,3,14374185223286279150,15962231219628500958,OTHER
72,255308143867597184,3714510000000000000,ANALOGY,1,255308143867597137,3714509432025276999,OXYMORON
77,7489313936521549824,7078800000000000000,FALSE ASSERTION,2,7489313936521549730,7078804662830207026,RHETORICAL QUESTION
74,14222935602055790592,11326200000000000000,FALSE ASSERTION,2,14222935602055790506,11326178856097489517,CONTEXT SHIFT
189,13390906219756009472,4552500000000000000,OTHER,2,13390906219756012723,4552496731404807745,OXYMORON
11,1439242534760017920,10568700000000000000,FALSE ASSERTION,2,1439242534760018183,10568660044232783997,OXYMORON
24,17212309861089630208,7213440000000000000,FALSE ASSERTION,3,17212309861089629397,7213436467281141349,OXYMORON
40,225288318251128288,4629310000000000000,HYPERBOLE,3,225288318251128266,4629313374876462186,OXYMORON
194,17539115194999750656,2616120000000000000,OTHER,3,17539115194999755505,2616124266813447248,CONTEXT SHIFT
99,17101699480099239936,15609300000000000000,FALSE ASSERTION,3,17101699480099236488,15609252204141551532,FALSE ASSERTION
80,4360074657789536256,16013400000000000000,EUPHEMISM,1,4360074657789536204,16013385024775975826,FALSE ASSERTION
51,1096004385442002944,18443900000000000000,HYPERBOLE,3,1096004385442002764,18443942209355330178,OXYMORON
78,10282731906424629248,15817800000000000000,ANALOGY,3,10282731906424625452,15817763508420977203,ANALOGY
179,8673029279031176192,2090710000000000000,EUPHEMISM,1,8673029279031175941,2090714763405942499,CONTEXT SHIFT
31,4320113204215145984,16985200000000000000,OTHER,2,4320113204215146594,16985212201485188706,OTHER
0,7961696982295378944,15902900000000000000,CONTEXT SHIFT,2,7961696982295378594,15902869978243358740,EUPHEMISM
125,12802596261741490176,12261900000000000000,HYPERBOLE,1,12802596261741493988,12261921827305638030,OXYMORON
158,17239694814309300224,1239070000000000000,OTHER,2,17239694814309298157,1239066701255211946,FALSE ASSERTION
73,8182077132297058304,4587260000000000000,OTHER,2,8182077132297058592,4587262354479507693,OXYMORON
176,6704336624706271232,15276700000000000000,ANALOGY,2,6704336624706271088,15276675242485480973,CONTEXT SHIFT
61,11899879421757480960,699644000000000000,FALSE ASSERTION,3,11899879421757476087,699644003890646908,OXYMORON
46,630286693384318080,11609600000000000000,ANALOGY,3,630286693384318110,11609603629506075583,ANALOGY
69,11854247542220259328,17907300000000000000,CONTEXT SHIFT,2,11854247542220259733,17907323798396250315,CONTEXT SHIFT
110,7987151303712674816,7829230000000000000,FALSE ASSERTION,2,7987151303712675040,7829233348808666414,CONTEXT SHIFT
65,16971453668517500928,15948200000000000000,EUPHEMISM,1,16971453668517499625,15948167978896004945,FALSE ASSERTION
173,3732654630473097216,110952000000000000,CONTEXT SHIFT,1,3732654630473096494,110951503065107791,OXYMORON
6,18184193230015000576,3263700000000000000,EUPHEMISM,1,18184193230015004878,3263697220254276145,OXYMORON
124,16379255176565530624,10462000000000000000,OTHER,2,16379255176565534094,10462018945349578152,CONTEXT SHIFT
187,6678462595339328512,6100410000000000000,CONTEXT SHIFT,2,6678462595339328827,6100411482346957449,RHETORICAL QUESTION
48,393080136253742016,16904200000000000000,CONTEXT SHIFT,2,393080136253742007,16904172624920341880,FALSE ASSERTION
126,2306502567302935040,8660850000000000000,EUPHEMISM,2,2306502567302935077,8660853111156343949,CONTEXT SHIFT
44,15313632188181430272,1809560000000000000,RHETORICAL QUESTION,3,15313632188181428820,1809564958676124831,CONTEXT SHIFT
32,10294703797536010240,14854400000000000000,OTHER,3,10294703797536010927,14854425964142098611,RHETORICAL QUESTION
13,7033897647878070272,4174370000000000000,CONTEXT SHIFT,1,7033897647878069845,4174365284286873253,CONTEXT SHIFT
182,11853669944201299968,6859860000000000000,OTHER,3,11853669944201298733,6859858862964169623,OTHER
109,1679217763483685120,8067560000000000000,FALSE ASSERTION,2,1679217763483684543,8067559777741395873,RHETORICAL QUESTION
95,11534803039351519232,14401400000000000000,OTHER,2,11534803039351516013,14401413796579297426,HYPERBOLE
93,12561098575626790912,12674400000000000000,EUPHEMISM,2,12561098575626788279,12674379110877124783,EUPHEMISM
116,7501166755663576064,17666000000000000000,OTHER,1,7501166755663576500,17665996701756597518,RHETORICAL QUESTION
186,11236300103531329536,13378300000000000000,ANALOGY,1,11236300103531326281,13378290050323101176,OXYMORON
147,9439828508304793600,16960000000000000000,ANALOGY,1,9439828508304793474,16960017177206458004,RHETORICAL QUESTION
192,541253097942894784,1442660000000000000,ANALOGY,1,541253097942894825,1442662543820583416,OXYMORON
39,11611645251669049344,7556330000000000000,ANALOGY,1,11611645251669047719,7556327041522555872,ANALOGY
149,6945640229171908608,13060500000000000000,EUPHEMISM,1,6945640229171908669,13060493841727604536,ANALOGY
58,7954843239286609920,8178510000000000000,FALSE ASSERTION,2,7954843239286609472,8178514984662953460,FALSE ASSERTION
83,15452154017271209984,11998800000000000000,OTHER,2,15452154017271209005,11998771725444375193,ANALOGY
96,1236265448438971904,4088920000000000000,FALSE ASSERTION,2,1236265448438971802,4088917524353094583,OXYMORON
113,15986361946082170880,16848500000000000000,RHETORICAL QUESTION,3,15986361946082174146,16848487518880439428,OXYMORON
169,954400581630060800,15189900000000000000,RHETORICAL QUESTION,2,954400581630060757,15189855149002636496,RHETORICAL QUESTION
152,12685626515092740096,11333800000000000000,HYPERBOLE,2,12685626515092742298,11333804666224189072,RHETORICAL QUESTION
199,7052809677862323200,4092240000000000000,OXYMORON,2,7052809677862322774,4092243886149381378,CONTEXT SHIFT
111,8553934668525359104,6122080000000000000,FALSE ASSERTION,2,8553934668525359548,6122081151389576797,OXYMORON
23,15318882553031809024,1457720000000000000,CONTEXT SHIFT,2,15318882553031808002,1457715404934972674,CONTEXT SHIFT
28,10742053278056030208,6975850000000000000,ANALOGY,1,10742053278056034849,6975849585050914194,ANALOGY
20,7462581045673427968,14235400000000000000,RHETORICAL QUESTION,3,7462581045673427940,14235387086314957124,CONTEXT SHIFT
97,9838181499890583552,10423300000000000000,OTHER,2,9838181499890583489,10423294332678156256,CONTEXT SHIFT
191,12245258018149509120,7745360000000000000,RHETORICAL QUESTION,2,12245258018149504903,7745357566381758226,RHETORICAL QUESTION
22,10765217889857900544,12979700000000000000,EUPHEMISM,1,10765217889857901124,12979662768096991244,OTHER
175,12068356125191430144,7906330000000000000,ANALOGY,1,12068356125191434935,7906333829592464483,EUPHEMISM
157,1924498557111155968,13042300000000000000,OTHER,2,1924498557111155620,13042295114884894930,FALSE ASSERTION
135,2530636871780512768,905238000000000000,RHETORICAL QUESTION,3,2530636871780512863,905237976227119896,RHETORICAL QUESTION
193,15051144082008870912,14736000000000000000,FALSE ASSERTION,1,15051144082008871030,14736009073774645474,OXYMORON
197,2026724236652621056,15985800000000000000,OTHER,2,2026724236652621339,15985819287471218724,FALSE ASSERTION
130,9283656897473443840,11902700000000000000,FALSE ASSERTION,3,9283656897473442907,11902735492634000037,OXYMORON
45,18387398790699239424,14325300000000000000,CONTEXT SHIFT,3,18387398790699243464,14325289729255053535,OXYMORON
151,2257238064643362048,5588800000000000000,HYPERBOLE,2,2257238064643361954,5588804634089702375,FALSE ASSERTION
144,8911687171641719808,12840800000000000000,OTHER,3,8911687171641720073,12840805487723803534,RHETORICAL QUESTION
76,4712286480051747840,4224410000000000000,RHETORICAL QUESTION,2,4712286480051747486,4224412406036902847,CONTEXT SHIFT
137,17218286934062159872,7840460000000000000,OTHER,3,17218286934062161374,7840462069541466104,CONTEXT SHIFT
94,12802596261741490176,6395060000000000000,FALSE ASSERTION,3,12802596261741493988,6395061022726320747,OXYMORON
162,3613038691848914944,565292000000000000,RHETORICAL QUESTION,3,3613038691848915463,565292024492303385,OXYMORON
141,3351706419049328128,4775270000000000000,EUPHEMISM,2,3351706419049328042,4775265474553845411,ANALOGY
148,18045340422771570688,159165000000000000,ANALOGY,2,18045340422771569615,159164947786136889,OXYMORON
57,6386761469479286784,6876180000000000000,ANALOGY,1,6386761469479287029,6876182389500383664,FALSE ASSERTION
171,5110262296428008448,12676000000000000000,OTHER,2,5110262296428008719,12675994162805584705,ANALOGY
190,3067091126359724032,5623380000000000000,RHETORICAL QUESTION,3,3067091126359723998,5623382111703118926,RHETORICAL QUESTION
75,6358833546371151872,2866560000000000000,OTHER,2,6358833546371152076,2866558935812545471,CONTEXT SHIFT
136,12738344882000019456,17573000000000000000,OTHER,3,12738344882000022003,17573030983672170801,FALSE ASSERTION
105,15909640808401659904,4919990000000000000,EUPHEMISM,2,15909640808401660433,4919986079066382405,FALSE ASSERTION
134,12762344047647358976,4934920000000000000,OTHER,3,12762344047647358653,4934917879037915800,ANALOGY
59,492369763312032128,17520700000000000000,HYPERBOLE,2,492369763312032140,17520746427191105100,CONTEXT SHIFT
53,14048408814207320064,15664700000000000000,OTHER,1,14048408814207322858,15664738191177034123,CONTEXT SHIFT
26,5168625731641847808,6591050000000000000,ANALOGY,1,5168625731641847314,6591052851845140780,OXYMORON
118,16565537520034279424,12210400000000000000,CONTEXT SHIFT,1,16565537520034275224,12210448347044972665,RHETORICAL QUESTION
62,8482609725250125824,11859000000000000000,EUPHEMISM,2,8482609725250126267,11858972309289678173,CONTEXT SHIFT
133,732865758052127488,17046100000000000000,FALSE ASSERTION,3,732865758052127456,17046125725826881438,CONTEXT SHIFT
18,17571549064257740800,12383100000000000000,OTHER,2,17571549064257738386,12383072170277129717,OXYMORON
127,10644245602980409344,17770700000000000000,OXYMORON,2,10644245602980409727,17770688488279751800,CONTEXT SHIFT
21,13615235974994190336,17921100000000000000,HYPERBOLE,2,13615235974994192540,17921102227611080135,OXYMORON
47,18083945283865270272,13051300000000000000,EUPHEMISM,2,18083945283865270699,13051258150452316447,OXYMORON
84,15145496112429019136,11505300000000000000,ANALOGY,3,15145496112429022382,11505263211788103267,ANALOGY
88,9408805770120683520,2035190000000000000,HYPERBOLE,3,9408805770120683449,2035191926981981266,RHETORICAL QUESTION
35,955066013186157056,7841040000000000000,RHETORICAL QUESTION,2,955066013186157002,7841042260941017515,ANALOGY
161,4414116674616324096,8854870000000000000,FALSE ASSERTION,2,4414116674616324165,8854873632828096910,OXYMORON
66,13943343828615460864,9688060000000000000,ANALOGY,2,13943343828615455796,9688064331281294454,CONTEXT SHIFT
153,6200782206383500288,1910100000000000000,HYPERBOLE,2,6200782206383500216,1910098991632370691,ANALOGY
122,7926235817378922496,8485090000000000000,HYPERBOLE,2,7926235817378922072,8485093943334291855,CONTEXT SHIFT
56,3564946252259166208,11499800000000000000,RHETORICAL QUESTION,3,3564946252259166350,11499789980177999013,RHETORICAL QUESTION
183,18085984606050760704,3945920000000000000,HYPERBOLE,3,18085984606050760423,3945915843498144279,ANALOGY
156,16302263758898020352,8042950000000000000,CONTEXT SHIFT,1,16302263758898016470,8042953822964241704,OXYMORON
180,523482694209799168,1023730000000000000,EUPHEMISM,1,523482694209799242,1023726392286098439,RHETORICAL QUESTION
14,14927487631298500608,3984510000000000000,ANALOGY,1,14927487631298501188,3984511296452077107,CONTEXT SHIFT
140,12903441351042940928,2957700000000000000,ANALOGY,1,12903441351042937581,2957700043962959906,CONTEXT SHIFT
87,11755500963030939648,12431600000000000000,OTHER,2,11755500963030936367,12431617714239409455,OTHER
82,13415829529808369664,7787860000000000000,EUPHEMISM,2,13415829529808365513,7787856245661930304,CONTEXT SHIFT
120,17406266981620549632,13932800000000000000,RHETORICAL QUESTION,2,17406266981620550655,13932824916509766942,OXYMORON
121,10279940017783449600,2387680000000000000,RHETORICAL QUESTION,2,10279940017783444627,2387683106799630597,CONTEXT SHIFT
145,4182246863848148992,10201800000000000000,HYPERBOLE,2,4182246863848149091,10201758524741496291,ANALOGY
10,8374295896122236928,9960700000000000000,FALSE ASSERTION,2,8374295896122236596,9960698491608353483,OTHER
33,1387389979920722944,7871260000000000000,CONTEXT SHIFT,1,1387389979920722676,7871259135814432605,OXYMORON
98,3078947007140050944,10710000000000000000,ANALOGY,2,3078947007140051398,10709996288788790791,ANALOGY
106,702317291372904320,2344620000000000000,FALSE ASSERTION,3,702317291372904372,2344624925279090928,RHETORICAL QUESTION
81,5724857037789025280,13083000000000000000,HYPERBOLE,2,5724857037789024993,13083017520244062607,RHETORICAL QUESTION
107,3045493691802176000,2186550000000000000,CONTEXT SHIFT,2,3045493691802176106,2186548156715543688,CONTEXT SHIFT
91,16626886395331850240,7533790000000000000,EUPHEMISM,2,16626886395331853970,7533785234591007556,CONTEXT SHIFT
71,14468596749483630592,4827130000000000000,FALSE ASSERTION,1,14468596749483626397,4827129665735165285,RHETORICAL QUESTION
37,4178595591294574080,16143900000000000000,FALSE ASSERTION,3,4178595591294573730,16143875424791040166,OXYMORON
68,16300389213436499968,7681940000000000000,OTHER,3,16300389213436496259,7681944978638246803,FALSE ASSERTION
16,3045493691802176000,5881810000000000000,HYPERBOLE,2,3045493691802176106,5881810090518876243,ANALOGY
1,4824587311292975104,4652170000000000000,RHETORICAL QUESTION,3,4824587311292975614,4652172244294165548,CONTEXT SHIFT
15,13999466197412390912,8582060000000000000,RHETORICAL QUESTION,2,13999466197412393302,8582060949257759582,CONTEXT SHIFT
165,2850064009792842752,16155700000000000000,HYPERBOLE,2,2850064009792842564,16155693498510497590,OXYMORON
79,5969871576465133568,14017200000000000000,ANALOGY,2,5969871576465133572,14017237498418812081,ANALOGY
103,364716304175925376,7002360000000000000,OTHER,2,364716304175925363,7002355718145839841,OTHER
170,16164952083934230528,2241330000000000000,ANALOGY,1,16164952083934226902,2241328335295699333,ANALOGY
102,12148897515124049920,10230900000000000000,RHETORICAL QUESTION,3,12148897515124050857,10230930535215515833,CONTEXT SHIFT
181,9927703142179117056,9002570000000000000,RHETORICAL QUESTION,3,9927703142179116661,9002569272707188600,OTHER
34,8657171621256952832,5812260000000000000,CONTEXT SHIFT,1,8657171621256953093,5812261606230189093,FALSE ASSERTION
60,9470135544203663360,7580360000000000000,CONTEXT SHIFT,1,9470135544203662717,7580355702657891160,CONTEXT SHIFT
196,15166726173020559360,8793600000000000000,RHETORICAL QUESTION,3,15166726173020555620,8793596342129188254,RHETORICAL QUESTION
195,4127188764209179136,5294800000000000000,ANALOGY,3,4127188764209178883,5294803959021646396,ANALOGY
19,1894119167367809024,9033280000000000000,OTHER,2,1894119167367808702,9033282269550186760,CONTEXT SHIFT
30,16167343742615099392,5036060000000000000,CONTEXT SHIFT,2,16167343742615103161,5036061917792258129,RHETORICAL QUESTION
8,457436274759233728,11247500000000000000,ANALOGY,1,457436274759233740,11247528056599234420,CONTEXT SHIFT
5,6878336134883742720,15991800000000000000,HYPERBOLE,1,6878336134883742551,15991848650180007832,OXYMORON
49,11926712388159440896,17502200000000000000,OTHER,1,11926712388159445365,17502157846068737338,CONTEXT SHIFT
89,1679217763483685120,6187690000000000000,OTHER,2,1679217763483684543,6187694910865506918,OXYMORON
63,2968926351009075200,10391400000000000000,OTHER,2,2968926351009075011,10391367793507987684,CONTEXT SHIFT
146,11071951095274190848,8806520000000000000,HYPERBOLE,2,11071951095274193319,8806515146477624007,OTHER
64,7477401530957351936,1206180000000000000,RHETORICAL QUESTION,3,7477401530957352384,1206181939592110880,OXYMORON
114,16653175777918050304,11658100000000000000,FALSE ASSERTION,2,16653175777918050962,11658098842295024801,OXYMORON
100,10426144657201930240,4379940000000000000,OTHER,2,10426144657201928929,4379935730836888699,CONTEXT SHIFT
117,18298855339031560192,12680200000000000000,RHETORICAL QUESTION,2,18298855339031564485,12680189878604401746,FALSE ASSERTION
177,7151181422750357504,7060190000000000000,FALSE ASSERTION,2,7151181422750357385,7060186702655038550,OXYMORON
159,3137790644280062976,9530790000000000000,RHETORICAL QUESTION,2,3137790644280063108,9530789368857545340,RHETORICAL QUESTION
42,11369149162983489536,7888320000000000000,OTHER,2,11369149162983494502,7888316588408967420,CONTEXT SHIFT
